sequence	2	1000	1989
shuffled	2	1000	2132
sequence	2	10000	19989
shuffled	2	10000	21796
sequence	2	100000	199987
shuffled	2	100000	220315
sequence	3	1000	985
shuffled	3	1000	740
sequence	3	10000	9982
shuffled	3	10000	7556
sequence	3	100000	99978
shuffled	3	100000	74506
sequence	5	1000	492
shuffled	5	1000	363
sequence	5	10000	4988
shuffled	5	10000	3694
sequence	5	100000	49985
shuffled	5	100000	36947
sequence	13	1000	161
shuffled	13	1000	119
sequence	13	10000	1661
shuffled	13	10000	1222
sequence	13	100000	16657
shuffled	13	100000	12174
